地方区分,都道府県番号,団体コード,都道府県名,よみ,県庁所在地,よみ
1,1,010006,北海道,ほっかいどう,札幌市,さっぽろし
2,2,020001,青森県,あおもりけん,青森市,あおもりし
2,3,030007,岩手県,いわてけん,盛岡市,もりおかし
2,4,040002,宮城県,みやぎけん,仙台市,せんだいし
2,5,050008,秋田県,あきたけん,秋田市,あきたし
2,6,060003,山形県,やまがたけん,山形市,やまがたし
2,7,070009,福島県,ふくしまけん,福島市,ふくしまし
3,8,080004,茨城県,いばらきけん,水戸市,みとし
3,9,090000,栃木県,とちぎけん,宇都宮市,とちぎし
3,10,100005,群馬県,ぐんまけん,前橋市,まえばしし
3,11,110001,埼玉県,さいたまけん,さいたま市,さいたまし
3,12,120006,千葉県,ちばけん,千葉市,ちばし
3,13,130001,東京都,とうきょうと,東京都新宿区,とうきょうとしんじゅくく
3,14,140007,神奈川県,かながわけん,横浜市,よこはまし
4,15,150002,新潟県,にいがたけん,新潟市,にいがたし
4,16,160008,富山県,とやまけん,富山市,とやまし
4,17,170003,石川県,いしかわけん,金沢市,かなざわし
4,18,180009,福井県,ふくいけん,福井市,ふくいし
4,19,190004,山梨県,やまなしけん,甲府市,こうふし
4,20,200000,長野県,ながのけん,長野市,ながのし
4,21,210005,岐阜県,ぎふけん,岐阜市,ぎふし
4,22,220001,静岡県,しずおかけん,静岡市,しずおかし
4,23,230006,愛知県,あいちけん,名古屋市,なごやし
5,24,240001,三重県,みえけん,津市,つし
5,25,250007,滋賀県,しがけん,大津市,おおつし
5,26,260002,京都府,きょうとふ,京都市,きょうとし
5,27,270008,大阪府,おおさかふ,大阪市,おおさかし
5,28,280003,兵庫県,ひょうごけん,神戸市,ひょうごし
5,29,290009,奈良県,ならけん,奈良市,ならし
5,30,300004,和歌山県,わかやまけん,和歌山市,わかやまし
6,31,310000,鳥取県,とっとりけん,鳥取市,とっとりし
6,32,320005,島根県,しまねけん,松江市,まつえし
6,33,330001,岡山県,おかやまけん,岡山市,おかやまし
6,34,340006,広島県,ひろしまけん,広島市,ひろしまし
6,35,350001,山口県,やまぐちけん,山口市,やまぐちし
7,36,360007,徳島県,とくしまけん,徳島市,とくしまし
7,37,370002,香川県,かがわけん,高松市,たかまつし
7,38,380008,愛媛県,えひめけん,松山市,まつやまし
7,39,390003,高知県,こうちけん,高知市,こうちし
8,40,400009,福岡県,ふくおかけん,福岡市,ふくおかし
8,41,410004,佐賀県,さがけん,佐賀市,さがし
8,42,420000,長崎県,ながさきけん,長崎市,ながさきし
8,43,430005,熊本県,くまもとけん,熊本市,くまもとし
8,44,440001,大分県,おおいたけん,大分市,おおいたし
8,45,450006,宮崎県,みやざきけん,宮崎市,みやざきし
8,46,460001,鹿児島県,かごしまけん,鹿児島市,かごしまし
8,47,470007,沖縄県,おきなわけん,那覇市,なはし
